model,prompt_lang,adj_lang,intervention_lang,measure_lang,ablation_method,amplification_method,zero_ablation_mean,target_amplification_mean,original_mean,combined_mean,combined_minus_original,combined_minus_zero_ablation,combined_minus_target_amplification,combined_n,zero_ablation_n,target_amplification_n
qwen3-4b,de,de,de,ko,desc,val,-18.421578414351853,-11.020579020182291,-19.879626295301648,-10.00474537037037,9.874880924931277,8.416833043981482,1.0158336498119205,135.0,135.0,2.0
qwen3-4b,de,de,de,ko,freq,desc,-15.630340350115741,-19.03020477294922,-19.879626295301648,-15.614344618055556,4.265281677246092,0.01599573206018512,3.4158601548936627,135.0,135.0,1.0
qwen3-4b,de,de,de,ko,freq,freq,-15.630340350115741,-6.810060501098633,-19.879626295301648,-15.630340350115741,4.249285945185907,0.0,-8.820279849017108,135.0,135.0,2.0
qwen3-4b,de,de,de,ko,freq,val,-15.630340350115741,-11.020579020182291,-19.879626295301648,-8.246527777777779,11.63309851752387,7.383812572337963,2.7740512424045125,135.0,135.0,2.0
qwen3-4b,de,de,de,ko,val,desc,-18.07024558738426,-19.03020477294922,-19.879626295301648,-17.913630280671295,1.9659960146303526,0.15661530671296475,1.1165744922779233,135.0,135.0,1.0
qwen3-4b,de,de,de,ko,val,freq,-18.07024558738426,-6.810060501098633,-19.879626295301648,-17.31639720775463,2.5632290875470183,0.7538483796296305,-10.506336706655997,135.0,135.0,2.0
qwen3-4b,de,de,de,ko,val,val,-18.07024558738426,-11.020579020182291,-19.879626295301648,-18.07024558738426,1.8093807079173878,0.0,-7.049666567201969,135.0,135.0,2.0
qwen3-4b,de,de,de,zh,desc,desc,-13.254777892561984,-13.042226155598959,-13.761282928719009,-13.254777892561984,0.5065050361570247,0.0,-0.2125517369630252,121.0,121.0,1.0
qwen3-4b,de,de,de,zh,desc,freq,-13.254777892561984,-2.3686745961507163,-13.761282928719009,-11.661221590909092,2.100061337809917,1.5935563016528924,-9.292546994758375,121.0,121.0,2.0
qwen3-4b,de,de,de,zh,desc,val,-13.254777892561984,-6.541219075520834,-13.761282928719009,-3.1171229338842976,10.64415999483471,10.137654958677686,3.4240961416365363,121.0,121.0,2.0
qwen3-4b,de,de,de,zh,freq,desc,-10.641125387396695,-13.042226155598959,-13.761282928719009,-10.632033671229339,3.12924925748967,0.009091716167356267,2.4101924843696203,121.0,121.0,1.0
qwen3-4b,de,de,de,zh,freq,freq,-10.641125387396695,-2.3686745961507163,-13.761282928719009,-10.641125387396695,3.120157541322314,0.0,-8.272450791245978,121.0,121.0,2.0
qwen3-4b,de,de,de,zh,freq,val,-10.641125387396695,-6.541219075520834,-13.761282928719009,-0.6350723140495868,13.126210614669422,10.006053073347108,5.9061467614712475,121.0,121.0,2.0
qwen3-4b,de,de,de,zh,val,desc,-13.413586324896695,-13.042226155598959,-13.761282928719009,-13.372853176652892,0.3884297520661164,0.040733148243802475,-0.3306270210539335,121.0,121.0,1.0
qwen3-4b,de,de,de,zh,val,freq,-13.413586324896695,-2.3686745961507163,-13.761282928719009,-12.521248305139462,1.2400346235795467,0.8923380197572328,-10.152573708988745,121.0,121.0,2.0
qwen3-4b,de,de,de,zh,val,val,-13.413586324896695,-6.541219075520834,-13.761282928719009,-13.413586324896695,0.34769660382231393,0.0,-6.872367249375861,121.0,121.0,2.0
qwen3-4b,de,de,en,de,freq,freq,-0.9148185483870968,0.0,-0.9148185483870968,-0.9148185483870968,0.0,0.0,-0.9148185483870968,124.0,124.0,2.0
qwen3-4b,de,de,en,de,freq,val,-0.9148185483870968,0.0,-0.9148185483870968,-0.22026209677419356,0.6945564516129032,0.6945564516129032,-0.22026209677419356,124.0,124.0,2.0
qwen3-4b,de,de,en,de,val,freq,-0.9884072580645161,0.0,-0.9148185483870968,-0.9753024193548387,-0.06048387096774199,0.01310483870967738,-0.9753024193548387,124.0,124.0,2.0
qwen3-4b,de,de,en,de,val,val,-0.9884072580645161,0.0,-0.9148185483870968,-0.9884072580645161,-0.07358870967741937,0.0,-0.9884072580645161,124.0,124.0,2.0
qwen3-4b,de,de,en,en,freq,freq,-7.694212147887324,-0.3068561553955078,-7.694212147887324,-7.694212147887324,0.0,0.0,-7.387355992491816,142.0,142.0,2.0
qwen3-4b,de,de,en,en,freq,val,-7.694212147887324,-3.1230061848958335,-7.694212147887324,1.7475792253521127,9.441791373239436,9.441791373239436,4.870585410247946,142.0,142.0,2.0
qwen3-4b,de,de,en,en,val,freq,-7.928477112676056,-0.3068561553955078,-7.694212147887324,-7.855551276408451,-0.16133912852112697,0.07292583626760507,-7.548695121012943,142.0,142.0,2.0
qwen3-4b,de,de,en,en,val,val,-7.928477112676056,-3.1230061848958335,-7.694212147887324,-7.928477112676056,-0.23426496478873204,0.0,-4.805470927780222,142.0,142.0,2.0
qwen3-4b,de,de,en,es,freq,freq,-11.31988393660072,-2.739409764607748,-11.31988393660072,-11.31988393660072,0.0,0.0,-8.580474171992972,139.0,139.0,2.0
qwen3-4b,de,de,en,es,freq,val,-11.31988393660072,-5.748779296875,-11.31988393660072,-2.6117356115107913,8.708148325089928,8.708148325089928,3.1370436853642087,139.0,139.0,2.0
qwen3-4b,de,de,en,es,val,freq,-11.520251377023381,-2.739409764607748,-11.31988393660072,-11.463410521582734,-0.14352658498201443,0.05684085544064743,-8.724000756974986,139.0,139.0,2.0
qwen3-4b,de,de,en,es,val,val,-11.520251377023381,-5.748779296875,-11.31988393660072,-11.520251377023381,-0.20036744042266186,0.0,-5.771472080148381,139.0,139.0,2.0
qwen3-4b,de,de,en,fr,freq,freq,-10.839122596153846,-2.257295608520508,-10.839122596153846,-10.839122596153846,0.0,0.0,-8.581826987633338,130.0,130.0,2.0
qwen3-4b,de,de,en,fr,freq,val,-10.839122596153846,-4.812174479166667,-10.839122596153846,-2.127644230769231,8.711478365384615,8.711478365384615,2.684530248397436,130.0,130.0,2.0
qwen3-4b,de,de,en,fr,val,freq,-11.1787109375,-2.257295608520508,-10.839122596153846,-11.10531475360577,-0.2661921574519237,0.0733961838942303,-8.848019145085262,130.0,130.0,2.0
qwen3-4b,de,de,en,fr,val,val,-11.1787109375,-4.812174479166667,-10.839122596153846,-11.1787109375,-0.339588341346154,0.0,-6.366536458333333,130.0,130.0,2.0
qwen3-4b,de,de,en,ja,freq,freq,-16.44842529296875,-2.736041386922201,-16.447433229476687,-16.44842529296875,-0.0009920634920632665,0.0,-13.712383906046549,126.0,126.0,2.0
qwen3-4b,de,de,en,ja,freq,val,-16.44842529296875,-8.156667073567709,-16.447433229476687,1.0843253968253967,17.531758626302082,17.532750689794145,9.240992470393106,126.0,126.0,2.0
qwen3-4b,de,de,en,ja,val,freq,-16.569246806795636,-2.736041386922201,-16.447433229476687,-16.27527836390904,0.17215486556764503,0.2939684428865945,-13.53923697698684,126.0,126.0,2.0
qwen3-4b,de,de,en,ja,val,val,-16.569246806795636,-8.156667073567709,-16.447433229476687,-16.569246806795636,-0.12181357731894948,0.0,-8.412579733227927,126.0,126.0,2.0
qwen3-4b,de,de,en,ko,freq,freq,-19.880552221227575,-6.810060501098633,-19.879626295301648,-19.880552221227575,-0.0009259259259266628,0.0,-13.070491720128942,135.0,135.0,2.0
qwen3-4b,de,de,en,ko,freq,val,-19.880552221227575,-11.020579020182291,-19.879626295301648,-3.091203703703704,16.788422591597943,16.78934851752387,7.929375316478588,135.0,135.0,2.0
qwen3-4b,de,de,en,ko,val,freq,-19.690467664930555,-6.810060501098633,-19.879626295301648,-19.39760109230324,0.48202520299840756,0.2928665726273145,-12.587540591204608,135.0,135.0,2.0
qwen3-4b,de,de,en,ko,val,val,-19.690467664930555,-11.020579020182291,-19.879626295301648,-19.690467664930555,0.18915863037109304,0.0,-8.669888644748264,135.0,135.0,2.0
qwen3-4b,de,de,en,zh,freq,freq,-13.762315986570249,-2.3686745961507163,-13.761282928719009,-13.762315986570249,-0.0010330578512398603,0.0,-11.393641390419532,121.0,121.0,2.0
qwen3-4b,de,de,en,zh,freq,val,-13.762315986570249,-6.541219075520834,-13.761282928719009,4.047262396694215,17.808545325413224,17.809578383264466,10.588481472215049,121.0,121.0,2.0
qwen3-4b,de,de,en,zh,val,freq,-14.00580287964876,-2.3686745961507163,-13.761282928719009,-13.71447299925749,0.04680992946151896,0.2913298803912703,-11.345798403106773,121.0,121.0,2.0
qwen3-4b,de,de,en,zh,val,val,-14.00580287964876,-6.541219075520834,-13.761282928719009,-14.00580287964876,-0.24451995092975132,0.0,-7.464583804127926,121.0,121.0,2.0
qwen3-4b,de,de,es,de,desc,desc,-0.9148185483870968,0.0,-0.9148185483870968,-0.9148185483870968,0.0,0.0,-0.9148185483870968,124.0,124.0,1.0
qwen3-4b,de,de,es,de,desc,freq,-0.9148185483870968,0.0,-0.9148185483870968,-0.7051411290322581,0.20967741935483863,0.20967741935483863,-0.7051411290322581,124.0,124.0,2.0
qwen3-4b,de,de,es,de,desc,val,-0.9148185483870968,0.0,-0.9148185483870968,-0.4080141129032258,0.506804435483871,0.506804435483871,-0.4080141129032258,124.0,124.0,2.0
qwen3-4b,de,de,es,de,freq,desc,-0.9138104838709677,0.0,-0.9148185483870968,-0.9138104838709677,0.0010080645161290036,0.0,-0.9138104838709677,124.0,124.0,1.0
qwen3-4b,de,de,es,de,freq,freq,-0.9138104838709677,0.0,-0.9148185483870968,-0.9138104838709677,0.0010080645161290036,0.0,-0.9138104838709677,124.0,124.0,2.0
qwen3-4b,de,de,es,de,freq,val,-0.9138104838709677,0.0,-0.9148185483870968,-0.39264112903225806,0.5221774193548387,0.5211693548387097,-0.39264112903225806,124.0,124.0,2.0
qwen3-4b,de,de,es,de,val,desc,-0.9949596774193549,0.0,-0.9148185483870968,-0.9879032258064516,-0.07308467741935487,0.007056451612903247,-0.9879032258064516,124.0,124.0,1.0
qwen3-4b,de,de,es,de,val,freq,-0.9949596774193549,0.0,-0.9148185483870968,-0.8104838709677419,0.10433467741935487,0.184475806451613,-0.8104838709677419,124.0,124.0,2.0
qwen3-4b,de,de,es,de,val,val,-0.9949596774193549,0.0,-0.9148185483870968,-0.9949596774193549,-0.08014112903225812,0.0,-0.9949596774193549,124.0,124.0,2.0
qwen3-4b,de,de,es,en,desc,desc,-7.694212147887324,-6.373209635416667,-7.694212147887324,-7.694212147887324,0.0,0.0,-1.321002512470657,142.0,142.0,1.0
qwen3-4b,de,de,es,en,desc,freq,-7.694212147887324,-0.3068561553955078,-7.694212147887324,-2.7613336267605635,4.93287852112676,4.93287852112676,-2.4544774713650557,142.0,142.0,2.0
qwen3-4b,de,de,es,en,desc,val,-7.694212147887324,-3.1230061848958335,-7.694212147887324,0.601012323943662,8.295224471830986,8.295224471830986,3.7240185088394955,142.0,142.0,2.0
qwen3-4b,de,de,es,en,freq,desc,-7.693551936619718,-6.373209635416667,-7.694212147887324,-7.693551936619718,0.000660211267605959,0.0,-1.320342301203051,142.0,142.0,1.0
qwen3-4b,de,de,es,en,freq,freq,-7.693551936619718,-0.3068561553955078,-7.694212147887324,-7.693551936619718,0.000660211267605959,0.0,-7.38669578122421,142.0,142.0,2.0
qwen3-4b,de,de,es,en,freq,val,-7.693551936619718,-3.1230061848958335,-7.694212147887324,-0.019806338028169015,7.674405809859155,7.673745598591549,3.1031998468676645,142.0,142.0,2.0
qwen3-4b,de,de,es,en,val,desc,-7.370048415492958,-6.373209635416667,-7.694212147887324,-7.26446963028169,0.429742517605634,0.10557878521126796,-0.891259994865023,142.0,142.0,1.0
qwen3-4b,de,de,es,en,val,freq,-7.370048415492958,-0.3068561553955078,-7.694212147887324,-3.8134903169014085,3.8807218309859155,3.5565580985915495,-3.5066341615059007,142.0,142.0,2.0
qwen3-4b,de,de,es,en,val,val,-7.370048415492958,-3.1230061848958335,-7.694212147887324,-7.370048415492958,0.324163732394366,0.0,-4.247042230597124,142.0,142.0,2.0
qwen3-4b,de,de,es,es,desc,desc,-11.31988393660072,-10.17236328125,-11.31988393660072,-11.31988393660072,0.0,0.0,-1.1475206553507196,139.0,139.0,1.0
qwen3-4b,de,de,es,es,desc,freq,-11.31988393660072,-2.739409764607748,-11.31988393660072,-1.23988309352518,10.08000084307554,10.08000084307554,1.499526671082568,139.0,139.0,2.0
qwen3-4b,de,de,es,es,desc,val,-11.31988393660072,-5.748779296875,-11.31988393660072,-1.6695143884892085,9.650369548111511,9.650369548111511,4.079264908385792,139.0,139.0,2.0
qwen3-4b,de,de,es,es,freq,desc,-11.332986735611511,-10.17236328125,-11.31988393660072,-11.332986735611511,-0.0131027990107917,0.0,-1.1606234543615113,139.0,139.0,1.0
qwen3-4b,de,de,es,es,freq,freq,-11.332986735611511,-2.739409764607748,-11.31988393660072,-11.332986735611511,-0.0131027990107917,0.0,-8.593576971003763,139.0,139.0,2.0
qwen3-4b,de,de,es,es,freq,val,-11.332986735611511,-5.748779296875,-11.31988393660072,-3.459757194244604,7.860126742356115,7.873229541366907,2.289022102630396,139.0,139.0,2.0
qwen3-4b,de,de,es,es,val,desc,-11.598098864658274,-10.17236328125,-11.31988393660072,-10.809795132643885,0.510088803956835,0.7883037320143895,-0.6374318513938846,139.0,139.0,1.0
qwen3-4b,de,de,es,es,val,freq,-11.598098864658274,-2.739409764607748,-11.31988393660072,-3.335206834532374,7.984677102068345,8.2628920301259,-0.5957970699246262,139.0,139.0,2.0
qwen3-4b,de,de,es,es,val,val,-11.598098864658274,-5.748779296875,-11.31988393660072,-11.598098864658274,-0.27821492805755454,0.0,-5.849319567783274,139.0,139.0,2.0
qwen3-4b,de,de,es,fr,desc,desc,-10.839122596153846,-9.972493489583334,-10.839122596153846,-10.839122596153846,0.0,0.0,-0.8666291065705121,130.0,130.0,1.0
qwen3-4b,de,de,es,fr,desc,freq,-10.839122596153846,-2.257295608520508,-10.839122596153846,-3.600841346153846,7.23828125,7.23828125,-1.3435457376333382,130.0,130.0,2.0
qwen3-4b,de,de,es,fr,desc,val,-10.839122596153846,-4.812174479166667,-10.839122596153846,-2.0759615384615384,8.763161057692308,8.763161057692308,2.7362129407051285,130.0,130.0,2.0
qwen3-4b,de,de,es,fr,freq,desc,-10.865985576923077,-9.972493489583334,-10.839122596153846,-10.865985576923077,-0.02686298076923066,0.0,-0.8934920873397427,130.0,130.0,1.0
qwen3-4b,de,de,es,fr,freq,freq,-10.865985576923077,-2.257295608520508,-10.839122596153846,-10.865985576923077,-0.02686298076923066,0.0,-8.608689968402569,130.0,130.0,2.0
qwen3-4b,de,de,es,fr,freq,val,-10.865985576923077,-4.812174479166667,-10.839122596153846,-3.216826923076923,7.622295673076923,7.649158653846154,1.5953475560897439,130.0,130.0,2.0
qwen3-4b,de,de,es,fr,val,desc,-11.155063100961538,-9.972493489583334,-10.839122596153846,-10.597819636418269,0.24130295973557736,0.5572434645432693,-0.6253261468349347,130.0,130.0,1.0
qwen3-4b,de,de,es,fr,val,freq,-11.155063100961538,-2.257295608520508,-10.839122596153846,-5.1010216346153845,5.7381009615384615,6.0540414663461535,-2.8437260260948767,130.0,130.0,2.0
qwen3-4b,de,de,es,fr,val,val,-11.155063100961538,-4.812174479166667,-10.839122596153846,-11.155063100961538,-0.315940504807692,0.0,-6.342888621794871,130.0,130.0,2.0
qwen3-4b,de,de,es,ja,desc,desc,-16.447433229476687,-15.487294514973959,-16.447433229476687,-16.447433229476687,0.0,0.0,-0.9601387145027278,126.0,126.0,1.0
qwen3-4b,de,de,es,ja,desc,freq,-16.447433229476687,-2.736041386922201,-16.447433229476687,-11.115234375,5.332198854476687,5.332198854476687,-8.379192988077799,126.0,126.0,2.0
qwen3-4b,de,de,es,ja,desc,val,-16.447433229476687,-8.156667073567709,-16.447433229476687,-4.2727554563492065,12.174677773127481,12.174677773127481,3.8839116172185024,126.0,126.0,2.0
qwen3-4b,de,de,es,ja,freq,desc,-16.445589701334637,-15.487294514973959,-16.447433229476687,-16.445589701334637,0.0018435281420501326,0.0,-0.9582951863606777,126.0,126.0,1.0
qwen3-4b,de,de,es,ja,freq,freq,-16.445589701334637,-2.736041386922201,-16.447433229476687,-16.445589701334637,0.0018435281420501326,0.0,-13.709548314412435,126.0,126.0,2.0
qwen3-4b,de,de,es,ja,freq,val,-16.445589701334637,-8.156667073567709,-16.447433229476687,-5.313306051587301,11.134127177889386,11.132283649747336,2.8433610219804075,126.0,126.0,2.0
qwen3-4b,de,de,es,ja,val,desc,-16.213015601748513,-15.487294514973959,-16.447433229476687,-16.256603422619047,0.19082980685763928,-0.0435878208705347,-0.7693089076450885,126.0,126.0,1.0
qwen3-4b,de,de,es,ja,val,freq,-16.213015601748513,-2.736041386922201,-16.447433229476687,-13.293964688740079,3.1534685407366077,2.9190509130084337,-10.557923301817878,126.0,126.0,2.0
qwen3-4b,de,de,es,ja,val,val,-16.213015601748513,-8.156667073567709,-16.447433229476687,-16.213015601748513,0.23441762772817398,0.0,-8.056348528180804,126.0,126.0,2.0
qwen3-4b,de,de,es,ko,desc,desc,-19.879626295301648,-19.03020477294922,-19.879626295301648,-19.879626295301648,0.0,0.0,-0.8494215223524293,135.0,135.0,1.0
qwen3-4b,de,de,es,ko,desc,freq,-19.879626295301648,-6.810060501098633,-19.879626295301648,-15.85230396412037,4.027322331181278,4.027322331181278,-9.042243463021737,135.0,135.0,2.0
qwen3-4b,de,de,es,ko,desc,val,-19.879626295301648,-11.020579020182291,-19.879626295301648,-9.12482638888889,10.754799906412758,10.754799906412758,1.8957526312934014,135.0,135.0,2.0
qwen3-4b,de,de,es,ko,freq,desc,-19.8929443359375,-19.03020477294922,-19.879626295301648,-19.8929443359375,-0.013318040635851958,0.0,-0.8627395629882812,135.0,135.0,1.0
qwen3-4b,de,de,es,ko,freq,freq,-19.8929443359375,-6.810060501098633,-19.879626295301648,-19.8929443359375,-0.013318040635851958,0.0,-13.082883834838867,135.0,135.0,2.0
qwen3-4b,de,de,es,ko,freq,val,-19.8929443359375,-11.020579020182291,-19.879626295301648,-9.802256944444444,10.077369350857204,10.090687391493056,1.2183220757378468,135.0,135.0,2.0
qwen3-4b,de,de,es,ko,val,desc,-19.18447582103588,-19.03020477294922,-19.879626295301648,-19.179595269097224,0.7000310262044245,0.004880551938654776,-0.14939049614800481,135.0,135.0,1.0
qwen3-4b,de,de,es,ko,val,freq,-19.18447582103588,-6.810060501098633,-19.879626295301648,-16.9253173828125,2.9543089124891466,2.259158438223377,-10.115256881713869,135.0,135.0,2.0
qwen3-4b,de,de,es,ko,val,val,-19.18447582103588,-11.020579020182291,-19.879626295301648,-19.18447582103588,0.6951504742657697,0.0,-8.163896800853587,135.0,135.0,2.0
qwen3-4b,de,de,es,zh,desc,desc,-13.761282928719009,-13.042226155598959,-13.761282928719009,-13.761282928719009,0.0,0.0,-0.7190567731200499,121.0,121.0,1.0
