model,prompt_idx,prompt_lang,adj_lang,intervention_lang,projection_lang,measure_lang,amplification_method,projection_method,original_target_minus_base,amplified_target_minus_base,isolated_target_minus_base,amplified_minus_original,isolated_minus_original,original_rank,amplified_rank,isolated_rank
gemma-2-2b,0,ja,ja,de,de,es,desc,freq,-13.375,-14.625,-13.25,-1.25,0.125,2046,17957,2320
gemma-2-2b,0,ja,ja,de,de,zh,desc,freq,-7.125,-6.6875,-7.125,0.4375,0.0,41,236,59
gemma-2-2b,0,ja,ja,de,de,ja,desc,freq,0.0,0.0,0.0,0.0,0.0,0,0,0
gemma-2-2b,0,ja,ja,de,de,ko,desc,freq,-14.375,-13.125,-14.0,1.25,0.375,3311,8991,3395
gemma-2-2b,0,ja,ja,de,de,en,val,desc,-5.4375,-4.0625,-5.125,1.375,0.3125,13,14,8
gemma-2-2b,0,ja,ja,de,de,fr,val,desc,-12.4375,-9.5,-11.5,2.9375,0.9375,1220,504,566
gemma-2-2b,0,ja,ja,de,de,de,val,desc,-18.0,-9.875,-18.875,8.125,-0.875,17295,627,20916
gemma-2-2b,0,ja,ja,de,de,es,val,desc,-13.375,-13.6875,-13.625,-0.3125,-0.25,2046,5917,1709
gemma-2-2b,0,ja,ja,de,de,zh,val,desc,-7.125,-7.3125,-7.5625,-0.1875,-0.4375,41,139,43
gemma-2-2b,0,ja,ja,de,de,ja,val,desc,0.0,0.0,0.0,0.0,0.0,0,0,0
gemma-2-2b,0,ja,ja,de,de,ko,val,desc,-14.375,-15.4375,-15.125,-1.0625,-0.75,3311,14458,3629
gemma-2-2b,0,ja,ja,de,de,en,val,val,-5.4375,-4.0625,-5.4375,1.375,0.0,13,14,13
gemma-2-2b,0,ja,ja,de,de,fr,val,val,-12.4375,-9.5,-12.5,2.9375,-0.0625,1220,504,1246
gemma-2-2b,0,ja,ja,de,de,de,val,val,-18.0,-9.875,-18.0,8.125,0.0,17295,627,17208
gemma-2-2b,0,ja,ja,de,de,es,val,val,-13.375,-13.6875,-13.375,-0.3125,0.0,2046,5917,2080
gemma-2-2b,0,ja,ja,de,de,zh,val,val,-7.125,-7.3125,-7.125,-0.1875,0.0,41,139,39
gemma-2-2b,0,ja,ja,de,de,ja,val,val,0.0,0.0,0.0,0.0,0.0,0,0,0
gemma-2-2b,0,ja,ja,de,de,ko,val,val,-14.375,-15.4375,-14.375,-1.0625,0.0,3311,14458,3312
gemma-2-2b,0,ja,ja,de,de,en,val,freq,-5.4375,-4.0625,-6.0625,1.375,-0.625,13,14,13
gemma-2-2b,0,ja,ja,de,de,fr,val,freq,-12.4375,-9.5,-12.9375,2.9375,-0.5,1220,504,1051
gemma-2-2b,0,ja,ja,de,de,de,val,freq,-18.0,-9.875,-19.375,8.125,-1.375,17295,627,21487
gemma-2-2b,0,ja,ja,de,de,es,val,freq,-13.375,-13.6875,-13.9375,-0.3125,-0.5625,2046,5917,1750
gemma-2-2b,0,ja,ja,de,de,zh,val,freq,-7.125,-7.3125,-7.75,-0.1875,-0.625,41,139,42
