model,prompt_lang,adj_lang,measure_lang,series,mean_value,source_csv
gemma-2-2b,de,de,ko,iso_desc__proj_val,0.23625,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,ko,iso_desc__proj_freq,-0.07375,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,ko,iso_val__proj_desc,-0.413125,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,ko,iso_val__proj_val,0.004375,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,ko,iso_val__proj_freq,-0.4475,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,ko,iso_freq__proj_desc,1.64,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,ko,iso_freq__proj_val,2.0975,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,ko,iso_freq__proj_freq,0.009375,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,zh,original,-12.5325,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,zh,amp_desc,1.518125,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,zh,amp_val,0.7628125,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,zh,amp_freq,3.623125,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,zh,iso_desc__proj_desc,-0.0059375,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,zh,iso_desc__proj_val,0.36375,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,zh,iso_desc__proj_freq,-0.055,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,zh,iso_val__proj_desc,-0.30625,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,zh,iso_val__proj_val,0.00375,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,zh,iso_val__proj_freq,-0.3596875,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,zh,iso_freq__proj_desc,1.795,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,zh,iso_freq__proj_val,1.753125,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,zh,iso_freq__proj_freq,-0.000625,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,en,de,original,4.0125,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,de,amp_desc,-0.1475,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,de,amp_val,1.541875,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,de,amp_freq,0.101875,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,de,iso_desc__proj_desc,-0.0025,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,de,iso_desc__proj_val,-0.053125,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,de,iso_desc__proj_freq,-0.046875,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,de,iso_val__proj_desc,1.465625,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,de,iso_val__proj_val,-0.003125,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,de,iso_val__proj_freq,0.0625,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,de,iso_freq__proj_desc,0.095625,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,de,iso_freq__proj_val,-0.2225,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,de,iso_freq__proj_freq,0.005625,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,en,original,0.0,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,en,amp_desc,0.0,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,en,amp_val,0.0,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,en,amp_freq,0.0,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,en,iso_desc__proj_desc,0.0,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,en,iso_desc__proj_val,0.0,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,en,iso_desc__proj_freq,0.0,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,en,iso_val__proj_desc,0.0,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,en,iso_val__proj_val,0.0,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,en,iso_val__proj_freq,0.0,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,en,iso_freq__proj_desc,0.0,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,en,iso_freq__proj_val,0.0,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,en,iso_freq__proj_freq,0.0,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,es,original,-2.996875,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,es,amp_desc,-0.2146875,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,es,amp_val,0.0565625,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,es,amp_freq,0.218125,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,es,iso_desc__proj_desc,0.0096875,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,es,iso_desc__proj_val,-0.185,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,es,iso_desc__proj_freq,-0.1790625,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,es,iso_val__proj_desc,0.05140625,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,es,iso_val__proj_val,0.005,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,es,iso_val__proj_freq,-0.35375,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,es,iso_freq__proj_desc,0.1990625,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,es,iso_freq__proj_val,0.033125,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,es,iso_freq__proj_freq,0.008125,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,fr,original,-2.961875,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,fr,amp_desc,-0.183125,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,fr,amp_val,-0.39875,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,fr,amp_freq,0.2015625,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,fr,iso_desc__proj_desc,0.0078125,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,fr,iso_desc__proj_val,-0.1784375,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,fr,iso_desc__proj_freq,-0.1625,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,fr,iso_val__proj_desc,-0.388125,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,fr,iso_val__proj_val,0.0075,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
gemma-2-2b,de,en,fr,iso_val__proj_freq,-0.575,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_en.csv
